NAME: gdb.21
NUMBER OF VERTICES: 8
NUMBER OF EDGES: 28
NUMBER OF REQUIRED_EDGES: 14
NUMBER OF NON_REQUIRED_EDGES: 14
VEHICLE CAPACITY: 16
NUMBER OF VEHICLES: 2
RECHARGE TIME: 32
LIST_REQUIRED_EDGES:
DEPOT: 1,3
(1,3) edge weight 1.0
(1,7) edge weight 2.0
(2,5) edge weight 4.0
(2,8) edge weight 4.0
(3,4) edge weight 7.0
(3,5) edge weight 3.0
(3,6) edge weight 4.0
(4,6) edge weight 2.0
(4,7) edge weight 4.0
(5,6) edge weight 6.0
(1,2) edge weight 4.0
(1,4) edge weight 3.0
(1,5) edge weight 6.0
(1,6) edge weight 6.0
LIST_NON_REQUIRED_EDGES:
(1,8) edge weight 1.0
(2,3) edge weight 3.0
(2,4) edge weight 6.0
(2,6) edge weight 2.0
(2,7) edge weight 6.0
(3,7) edge weight 8.0
(3,8) edge weight 2.0
(4,5) edge weight 6.0
(4,8) edge weight 1.0
(5,7) edge weight 2.0
(5,8) edge weight 8.0
(6,7) edge weight 8.0
(6,8) edge weight 3.0
(7,8) edge weight 7.0
FAILURE_SCENARIO:
Vehicle 1 will fail in 30 time units.
